local_identifier,title,subtitle,title_alternative,sort_order,series_title,description,provenance,note,abstract,date_full,date_note,personal_name,personal_name_addressee,personal_name_artist,personal_name_author,personal_name_cartographer,personal_name_compiler,personal_name_composer,personal_name_contributor,personal_name_dedicatee,personal_name_editor,personal_name_illustrator,personal_name_interviewee,personal_name_interviewer,personal_name_owner,personal_name_photographer,personal_name_publisher,personal_name_publishingdirector,personal_name_speaker,personal_name_translator,corporate_name,corporate_name_addressee,corporate_name_author,corporate_name_owner,corporate_name_photographer,family_name,type,genre,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_visual_materials,publisher_name,place_of_publication,language,extent,building_name,subject_personal_name,subject_corporate_name,subject_family_name,subject_geographic,subject_topical,ismemberof,ispartof,sequence_id,shelf_location,physical_location,restrictions_on_access,rights_statements,audios,images,models,videos,documents
(required),(required),,,,,,,,,(required),,,,,,,,,,,,,,,,,,,,,,,,,,,(required),(required),(required),(required),(required),(required),(required),,,(required),(required),,,,,,,(required),(required),(required),,,(required - constant value),,,,,,
yhm-com-bnl-mss-0136,"Letters from Lady Dovie, letter from Lady Goldie, letter from Mrs. Pearce",,,,,,,,,1900-01-02|@|1900-05-10|@|1900-07-14|@|1900-12-XX,,,,,"Waring, Jane Lee|@|Pearce, Mrs.|@|Goldie, Lady",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0137,Letter from Lady Dovie,,,,,,,,,4/12/1900,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0138,Letter from E. R. Pearce to Kanaye Nagasawa,,,,,,,,,4/19/1900,,,"Nagasawa, Kanaye",,"Pearce, E. R.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0139,Letter from Lady Dovie,,,,,,,,,1900-10-XX,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0140,Letter from Mrs. Harris,,,,,,,,,11/28/1901,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0141,Letter from Mrs. Harris,,,,,,,,,1/19/1902,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0142,Letters from Mrs. Harris,,,,,,,,,1902-02-21|@|1902-06-19|@|1902-08-10|@|1902-07-16,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,5 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0143,Letter from Mrs. Harris,,,,,,,,,3/27/1903,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0144,"Letter from Mrs. Harris, letter dictated by Mr. Harris",,,,,,,,,1903-05-07|@|1903-05-10,,"Harris, Mr.",,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,5 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0145,"Letters from Mrs. Harris, letter to Kanaye Nagasawa",,,,,,,,,3/3/1904,,,"Nagasawa, Kanaye",,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,3 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0146,Letter from Mrs. Harris,,,,,,,,,11/30/1904,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0147,"Letter, starts with ""In answer to one enquirer regarding 'Christian Science'...""",,,,,,,,,12/28/1904,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,3 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0148,Letter from Mrs. Harris,,,,,,,,,9/17/1905,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0149,Letter from Arhur A. Cuthberth,,,,,,,,,4/8/1906,,,,,"Cuthbert, Arthur A.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-01,Letter from Jane Lee Harris to Mr. [W.T.] Stead,,,,,,,,,6/4/1906,,,"Stead, W. T.",,"Harris, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-02,Letter in French from Eucien Vouriot (?) to Mrs. Parma ,,,,,,,,,6/28/1916,,,"Parma, Mrs.",,"Vouriot, Eucien",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-03,Letter in French from Eucien Vouriot (?) to Mrs. Parma ,,,,,,,,,7/8/1916,,,"Parma, Mrs.",,"Vouriot, Eucien",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,7 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-04,Letter from Jean Lavign (?) to Mrs. Parma,,,,,,,,,7/13/1916,,,"Parma, Mrs.",,"Lavign, Jean",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0150-05,Letter from Gaston G. Moutié (?) to Mrs. Parma,,,,,,,,,7/15/1916,,,"Parma, Mrs.",,"Moutié, Gaston G.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
