node_uuid,row_number,mods_titleinfo_title,sort_order,type,mods_genre_authority_local,mods_genre_subgenre_authority_local,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_realia,subgenre_visual_materials,mods_personal_name_author,mods_personal_name_editor,mods_personal_name_photographer,mods_personal_name_addressee,mods_name_personal_namepart_refined,family_name,mods_origininfo_dateother,mods_origininfo_datecreated,date_full,date_note,mods_language_languageterm_text,mods_physicaldescription_extent,mods_abstract,mods_subject_geographic,mods_subject_corporate_name,mods_subject_personal_name,mods_subject_topic,mods_subject_family_name,ismemberof,ispartof,sequence_id,mods_identifier_local,mods_location_shelflocator,pid,mods_accesscondition_restriction_on_access,mods_accesscondition_use_and_reproduction,mods_recordinfo_recordcontentsource,mods_relateditem_host_titleinfo_title,mods_recordinfo_recordcreationdate,documents,images,texts,videos,audios
50eac653-32e6-4fa6-b723-474dca4ca596,254,"Page 139 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",254,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,139,yhm-spe-bro-01-field_s139,,hamLibSparc:12381933,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s139.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s139.txt,,
056e0d59-3273-4408-8743-e428280a9060,255,"Page 140 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",255,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,140,yhm-spe-bro-01-field_s140,,hamLibSparc:12381934,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s140.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s140.txt,,
9aa501e8-5097-441d-a764-146572aae549,256,"Page 141 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",256,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,141,yhm-spe-bro-01-field_s141,,hamLibSparc:12381935,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s141.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s141.txt,,
199a4f8f-77da-4d00-8da0-547a7c59c4d5,257,"Page 142 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",257,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,142,yhm-spe-bro-01-field_s142,,hamLibSparc:12381936,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s142.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s142.txt,,
d73d997c-f8e8-4d6a-bbcf-c0f46015b310,258,"Page 143 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",258,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,143,yhm-spe-bro-01-field_s143,,hamLibSparc:12381937,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s143.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s143.txt,,
c56a0697-d381-40e4-bd5f-25ccd1e9cf53,259,"Page 144 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",259,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,144,yhm-spe-bro-01-field_s144,,hamLibSparc:12381938,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s144.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s144.txt,,
8527ddc9-9b96-4208-9b03-d8ad75f8b518,260,"Page 145 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",260,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,145,yhm-spe-bro-01-field_s145,,hamLibSparc:12381939,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s145.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s145.txt,,
66ee605e-b56d-4f72-80e0-3642b1a36962,261,"Page 146 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",261,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,146,yhm-spe-bro-01-field_s146,,hamLibSparc:12381940,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s146.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s146.txt,,
911385ba-9668-4409-9f93-51922e3632d0,262,"Page 147 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",262,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,147,yhm-spe-bro-01-field_s147,,hamLibSparc:12381941,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s147.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s147.txt,,
1060b775-4959-44e2-b72e-2bdf46e72cfa,263,"Page 148 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",263,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,148,yhm-spe-bro-01-field_s148,,hamLibSparc:12381942,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s148.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s148.txt,,
00e74c68-5f60-479e-a7b9-19b12bc626be,264,"Page 149 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",264,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,149,yhm-spe-bro-01-field_s149,,hamLibSparc:12381943,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s149.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s149.txt,,
2e09a23d-0734-48e3-9548-957e7593d359,265,"Page 150 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",265,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,150,yhm-spe-bro-01-field_s150,,hamLibSparc:12381944,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s150.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s150.txt,,
caf26bf6-b021-4de8-ba85-36af72b4b322,266,"Page 151 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",266,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,151,yhm-spe-bro-01-field_s151,,hamLibSparc:12381945,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s151.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s151.txt,,
ca35bb16-46f3-4444-a3b2-a07004844d3a,267,"Page 152 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",267,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,152,yhm-spe-bro-01-field_s152,,hamLibSparc:12381946,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s152.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s152.txt,,
4d7a3bfd-e12b-499d-8f85-6273d3583652,268,"Page 153 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",268,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,153,yhm-spe-bro-01-field_s153,,hamLibSparc:12381947,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s153.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s153.txt,,
5b51545c-0098-417c-a7c9-066beaa195fa,269,"Page 154 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",269,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,154,yhm-spe-bro-01-field_s154,,hamLibSparc:12381948,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s154.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s154.txt,,
2abf1468-ddf5-4c00-a7d9-670340a35f8f,270,"Page 155 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",270,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,155,yhm-spe-bro-01-field_s155,,hamLibSparc:12381949,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s155.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s155.txt,,
d39cb983-b69c-415c-a97a-14b9ad1949e6,271,"Letter from Henry D. Pixley to Joseph D. Ibbotson, July 31, 1929",271,Manuscript,Manuscripts,Correspondence,,,Correspondence,,,,"Ibbotson, Joseph Darling, 1869-1952|@|Pixley, Henry David, 1892-1960",,,,,,,1929-07-31|@|1929-07-31|@|1929-07-31,1929-07-31,,English,1 image,"Letter dated July 31, 1929 from Henry D. Pixley to Prof. J.D. Ibbotson for the papers that follow",Oneida County (N.Y.)|@|Stockbridge (N.Y. : Town),Stockbridge Indians,"Sergeant, John, 1747-1824",,,94608942-674a-496f-b98b-af5a9f480fc0,,1,yhm-spe-bro-03-doc,Hamilton College Library Rare Books and Special Collections|@|Brothertown Indian Nation Collection|@|CNYSMC Series 25 v.3,hamLibSparc:12381787,There are no restrictions on access to this resource.,https://rightsstatements.org/page/NKC/1.0/?language=en,"Hamilton College Library, Clinton, New York, United States",Hamilton College Library Digital Collections|@|Brothertown Indian Nation Records,2018-01-01T00:00:00Z|@|2018-01-01T00:00:00.000Z|@|2018,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-03-doc.pdf,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-03-doc.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-03-doc.txt,,
